"","identifier","text"
"42","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.4.10","hic autem fio utor pabulum cibus saluber proprietas terra video licet animadverto et cognosco ex ager cretensium qui sum circo pothereum flumen qui sum cerno inter duo civitas gnoson et gortynam dexter enim et sinister is flumen pascor pecus sed ex hic qui pascor proximus gnoson si qui autem ex alter pars proximus gortynam non habeo appareo splenem unde etiam medicus quaero de is res invenio in hic locus herba qui pecus rodo in-minuo lienis ito is herba colligo curo lienosus hic medicamentum qui etiam cretenses ἄσπληνον vocito ex is licet scio cibus atque aqua proprietas locus naturalis pestilens aut saluber sum"
"43","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.4.11","ito si in palus moenia constituo sum qui palus sequor mas sum specto ad septentriones aut inter septentriones et orior is palus excello sum qui litus marinus ratio video sum constituo fodio enim duco fio aqua exeo ad litus et mas tempestas ago in palus redundo motio concito mas mixtionibus non patior bestia paluster genus ibi nascor quisque de superus locus nato proximus litus pervenio inconsuetus salsitudo neco exemplar autem hic res gallica palus possum sum qui circumcingo altinum ravennam aquileiam alius qui in eiusmodi locus municipium sum proximus palus qui hic ratio habeo incredibilis salubritas"
"44","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.4.12","qui autem insido sum palus et non habeo exeo profluo neque per flumen neque per fodio utor pomptinae sto putesco et umor gravis et pestilens in is locus emitto ito in apulia oppidum salpia vetus qui diomedes ab troia redeo constituo sive quemadmodum nonnullus scribo elpias rhodius in eiusmodi locus sum con-loco ex qui incola quot aegroto laboro aliquando pervenio ad m hostilis ab is publicus peto impetro ut is idoneus locus ad moenia transfero conquiro eligo tunc is moror non sum sed statim ratio doceo quaero sequor mas mercatus sum possessio locus saluber ab senatus populus romano peto ut licet transfero oppidum constituo moenia et area divido nummus sestertium singulus municeps mancipium do hic confacio lacus aperio in mas et portus ex lacus municipium perficio ito nunc salpini quattuor mille patior progredior ab oppidum vetus habito in saluber locus"
"45","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.5.1","cum ergo hic ratio sum salubritas moenia con-loco explicatio regio eligo sum fructus ad alo civitas copiosus et via munitio aut opportunitas flumen sive per portus marinus subvectio habeo ad moenia comportatio expedio tunc turris murus fundamentum sic sum facio utor fodio si queo invenio ad solidus et in solidus quantus ex amplitudo opus pro ratio video crassitudo amplus qui paries qui supra terra sum sum et is impleo qui solidus struo"
"46","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.5.2","ito turris sum proicio in exter pars utor cum ad murus hostis impetus volo appropinquo ab turris dexter atque sinister latus aperio telum vulnero curo magnus video ut non facilis adeo sum ad oppugno murus sed ito circumdo ad locum praecipitium et excogito utor porta iter non sum dirigo sed scaevus nam cum ito facio sum tum dexter latus accedo qui scutum non sum tego proximus sum murus con-loco autem oppidum sum non quadro neque procurro angulus sed circinatio utor hostis ex multus locus conspicio in qui enim angulus procurro difficilis defendo qui angulus magnus hostis tueor qui civis"
"47","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.5.3","crassitudo autem murus ito facio censeo utor armo homo supra obvius venio alius alius sinum impeditio praetereo possum dum in crassitudo perpetuus talea oleagineus ustilatae qui creber instruo utor uter murus frons inter sui quemadmodum fibula hic talea con-ligo aeternus habeo firmitas nam is materia neque caries neque tempestas neque vetustas possum noceo sed is et in terra obruo et in aqua con-loco permaneo sinum vitium utilis sempiternus ito non solus in murus sed etiam in substructio quisque paries muralis crassitudo sum facio hic ratio religo non cito vitio"
"48","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.5.4","intervallum autem turris ito sum facio ut neo longus sum alius ab alius sagitta missio utor si qui oppugno tum ab turris qui sum dexter sinister scorpio reliquus telum missio hostis reicio etiam contra interior pars turris divido sum murus intervallum tam magnus qui sum turris ut iter sum interior pars turris contigno neque is ferrum figo hostis enim si qui pars murus occupo qui repugno rescindo et si celeriter administro non patior reliquus pars turris murus hostis penetro nitor sui volo praecipito"
"49","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.5.5","turris ito rotundus aut polygonoe sum facio quadro enim machina celer dissipo qui angulus aries tundo frango in rotundatio autem utor cuneus ad centrum adigo laedo non possum ito munitio murus turris agger conjungo magnus sum tueor qui neque aries neque suffossio neque machina ceterus is valeo noceo"
"50","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.5.6","sed non in omnis locus sum agger ratio facio nitor qui extro murus ex alo locus planus pedis accedo sum ad moenia oppugno ito in eiusmodi locus primus fodio sum facio latitudo et altitudo qui amplus deinde fundamentum murus deprimo sum infra alveus fodio et is exstruo sum is crassitudo ut opus terrenus facilis sustineo"
"51","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.5.7","ito interior pars substructio fundamentum disto ab exter introrsum amplus spatium ito utor cohorto possum quemadmodum in acies instruo ad defendo supra latitudo agger consisto cum autem fundamentum ito disto inter sui sum constituo tunc inter is alius transverto conjungo exter et interior fundamentum pectinatim dispono quemadmodum serra dens soleo sum con-loco cum enim sic sum facio tunc ito onus terrenus magnitudo distribuo in parvus pars neque universus pondus premo non possum ullus ratio extrudo murus substructio"
"52","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.5.8","de ipse autem murus ex qui materio struo aut perficio ideo non sum praefinio qui in omnis locus qui opto copia is non possum habeo sed ubi sum saxum quadro sive silex sive caementum aut coquo later sive crudus hic sum utor non enim utor babylone abundo liquidus bitumen pro calcis et harena ex coquo latus facio habeo murus sic ito possum omnis regio sive locus proprietas habeo tantus idem genus utilitas utor ex hic comparatio ad aeternitas perficio habeo sinum vitium murus"
"53","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.6.1","moenia circumdo sequor intro murus area divisio platalea et angiportum ad caelum regio directio dirigo hic autem rego si excludo sum ex angiportum venio prudens qui si frigidus sum laedo si calidus vitio si umidus noceo quare vito video hic vitium et averto neo fio qui in multus civitas utor soleo venio quemadmodum in insula lesbo oppidum mytilenae magnificens sum aedifico et eleganter sed pono non prudens in qui civitas auster cum flo homo aegroto cum corus tussio cum septentriones restituo in salubritas sed in angiportum et platea non possum consisto propter vehementia frigus"
"54","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.6.2","venio autem sum aer fluo unda cum certus moveo redundo nascor cum fervo offendo umor et impetus spiritus factio exprimo vis flo is autem verus sum ex aeolis aereus licet aspicio et de lateo caelum ratio artificiosus res inventio divinitas exprimo veritas fio enim aeoli pila aereus cavus hic habeo punctus angustus qui aqua infundo con-loco ad ignis et antequam calesco non habeo ullus spiritus simul autem ut fervo coepio efficio ad ignis vehemens flo ito scio et judico licet ex parvus brevis spectaculum de magnus et immanis caelum venio natura ratio"
